Acedamic_percentage_in_Operating_Systems,percentage_in_Algorithms,Percentage_in_Programming_Concepts,Percentage_in_Software_Engineering,Percentage_in_Computer_Networks,Percentage_in_Electronics_Subjects,Percentage_in_Computer_Architecture,Percentage_in_Mathematics,Percentage_in_Communication_skills,Logical_quotient_rating,coding_skills_rating,self-learning_capability,Extra-courses_did,certifications,workshops,talenttests_taken,reading_and_writing_skills,memory_capability_score,Interested_subjects,interested_career_area,Job_Higher_Studies,Suggested_elective_Course
69,63,78,87,94,94,87,84,61,4,4,yes,yes,shell programming,cloud computing,no,excellent,excellent,cloud computing,system developer,higherstudies,0
78,62,73,60,71,70,73,84,91,7,2,no,yes,machine learning,database security,no,poor,medium,networks,Business process analyst,job,1
71,86,91,87,61,81,72,72,94,1,1,no,yes,app development,web technologies,no,poor,excellent,hacking,developer,higherstudies,1
76,87,60,84,89,73,62,88,69,1,2,yes,no,python,data science,yes,medium,excellent,networks,testing,higherstudies,2
92,62,90,67,71,89,73,71,73,5,6,no,no,app development,cloud computing,no,poor,excellent,Computer Architecture,testing,higherstudies,3
88,86,62,79,93,84,69,71,82,5,8,yes,no,python,database security,no,poor,medium,programming,system developer,job,4
93,77,69,79,90,93,73,63,77,3,3,no,yes,r programming,cloud computing,no,excellent,poor,parallel computing,security,job,0
84,72,88,62,66,63,78,94,60,2,6,no,no,r programming,cloud computing,no,poor,excellent,parallel computing,developer,higherstudies,5
73,66,66,81,81,69,61,87,90,5,4,yes,no,information security,testing,yes,poor,poor,IOT,developer,higherstudies,3
62,76,85,91,82,69,63,63,81,9,5,no,yes,app development,data science,yes,excellent,poor,data engineering,Business process analyst,job,6
73,80,70,83,61,82,75,94,89,6,3,no,no,hadoop,database security,no,medium,poor,parallel computing,security,higherstudies,7
63,76,81,90,70,72,86,89,85,3,9,yes,no,machine learning,hacking,yes,medium,excellent,parallel computing,testing,higherstudies,8
63,64,61,67,61,70,65,64,79,2,8,no,yes,distro making,game development,yes,medium,poor,cloud computing,system developer,higherstudies,6
68,93,77,60,77,81,67,81,91,5,6,no,yes,python,testing,no,poor,poor,parallel computing,developer,higherstudies,3
90,83,66,71,65,67,86,63,62,6,3,no,yes,machine learning,hacking,yes,poor,poor,Software Engineering,security,job,9
94,71,63,74,61,69,65,62,68,7,5,yes,yes,information security,system designing,yes,medium,excellent,networks,testing,higherstudies,10
60,92,94,90,62,94,62,73,60,7,5,no,yes,app development,hacking,no,medium,medium,IOT,developer,job,10
92,86,61,63,64,65,92,65,60,9,3,yes,no,hadoop,web technologies,no,medium,excellent,hacking,security,job,11
82,91,68,86,78,61,91,82,82,8,7,no,no,machine learning,testing,no,medium,medium,Computer Architecture,Business process analyst,higherstudies,12
90,73,90,67,63,88,67,60,69,6,2,yes,no,hadoop,system designing,yes,excellent,excellent,parallel computing,cloud computing,job,11
67,61,66,62,93,91,88,88,70,5,2,yes,yes,app development,game development,yes,medium,poor,parallel computing,security,higherstudies,0
65,61,73,90,89,74,82,60,84,8,2,yes,yes,hadoop,system designing,no,excellent,poor,hacking,security,higherstudies,3
84,62,70,70,67,65,78,61,65,9,4,no,no,r programming,system designing,yes,medium,excellent,cloud computing,system developer,job,9
74,89,66,75,86,61,63,80,69,9,7,yes,yes,shell programming,testing,yes,excellent,poor,data engineering,testing,job,13
92,67,76,92,69,90,80,77,66,7,5,yes,no,full stack,testing,yes,medium,poor,parallel computing,cloud computing,higherstudies,13
75,74,85,93,92,80,87,78,91,5,4,yes,no,distro making,testing,yes,medium,excellent,networks,developer,higherstudies,11
90,82,75,72,84,79,83,68,67,8,1,yes,no,python,database security,no,excellent,medium,programming,Business process analyst,higherstudies,5
71,60,93,79,78,93,90,76,75,9,3,yes,yes,app development,data science,no,poor,excellent,parallel computing,security,job,14
83,82,64,70,93,73,87,83,87,1,1,no,yes,app development,testing,no,excellent,medium,cloud computing,cloud computing,higherstudies,15
83,68,70,90,85,75,90,92,85,3,2,no,no,app development,testing,yes,excellent,poor,networks,Business process analyst,higherstudies,10
89,88,65,78,87,63,75,71,90,2,9,yes,yes,python,data science,yes,poor,medium,data engineering,Business process analyst,higherstudies,16
74,70,93,85,82,94,71,93,75,5,3,yes,no,full stack,game development,no,excellent,poor,cloud computing,testing,job,3
80,85,68,64,86,62,78,87,87,7,7,yes,no,shell programming,testing,no,excellent,excellent,data engineering,testing,job,2
70,67,64,82,77,72,87,68,65,9,2,yes,no,full stack,database security,no,excellent,poor,parallel computing,system developer,job,3
76,63,84,85,61,76,65,87,76,8,2,no,no,app development,web technologies,no,poor,excellent,data engineering,security,job,17
66,74,78,85,68,69,86,83,80,8,2,yes,no,hadoop,hacking,yes,excellent,excellent,Computer Architecture,testing,job,18
83,83,62,82,61,77,89,82,78,3,9,no,yes,app development,system designing,no,poor,poor,Computer Architecture,Business process analyst,job,3
66,71,72,60,93,65,81,78,94,8,7,yes,no,shell programming,cloud computing,no,excellent,poor,hacking,Business process analyst,job,19
70,71,65,84,86,72,79,68,63,8,4,no,no,full stack,system designing,yes,medium,medium,data engineering,testing,job,20
78,85,80,85,83,74,82,70,62,6,1,yes,yes,app development,hacking,yes,poor,poor,cloud computing,Business process analyst,job,21
74,67,94,65,94,83,93,81,84,5,6,yes,yes,python,game development,yes,poor,excellent,Software Engineering,testing,higherstudies,6
85,74,70,69,87,92,71,94,64,9,1,yes,no,app development,web technologies,yes,medium,excellent,Software Engineering,cloud computing,job,22
61,71,77,82,70,65,65,60,94,3,6,yes,yes,machine learning,data science,yes,medium,medium,IOT,security,higherstudies,23
71,83,80,71,85,60,63,93,88,7,8,yes,yes,full stack,web technologies,no,poor,medium,Software Engineering,Business process analyst,job,24
67,83,86,63,82,71,70,64,78,9,5,yes,no,machine learning,testing,yes,poor,excellent,Management,security,higherstudies,19
76,82,76,62,94,90,92,79,73,5,8,yes,no,shell programming,testing,yes,poor,medium,networks,Business process analyst,higherstudies,25
69,81,74,62,60,82,82,75,70,7,2,yes,no,python,testing,no,poor,excellent,data engineering,security,higherstudies,20
81,83,63,78,66,63,75,85,78,7,5,yes,yes,shell programming,cloud computing,yes,medium,medium,Software Engineering,system developer,job,26
79,73,77,91,84,68,82,63,84,7,3,yes,no,python,database security,yes,poor,poor,hacking,cloud computing,job,10
73,78,76,75,71,66,92,91,81,5,9,no,no,distro making,database security,yes,excellent,poor,Computer Architecture,system developer,job,11
69,71,88,82,88,71,83,93,92,2,1,yes,no,information security,database security,no,excellent,poor,parallel computing,security,higherstudies,23
75,84,63,90,77,81,71,63,69,4,2,no,yes,machine learning,cloud computing,yes,poor,medium,hacking,cloud computing,job,24
73,69,63,90,64,60,80,78,78,5,6,yes,no,information security,testing,yes,poor,poor,programming,testing,higherstudies,27
62,92,83,84,93,68,88,74,71,8,4,yes,yes,information security,database security,yes,medium,medium,hacking,security,higherstudies,4
69,73,86,91,77,60,84,67,73,3,2,yes,yes,hadoop,cloud computing,yes,poor,poor,cloud computing,Business process analyst,job,6
69,62,64,67,71,87,79,60,77,6,7,yes,no,shell programming,system designing,yes,poor,poor,parallel computing,system developer,higherstudies,26
65,78,80,93,87,60,85,67,68,3,4,no,no,machine learning,hacking,yes,poor,poor,networks,cloud computing,higherstudies,13
76,87,80,67,66,66,80,74,75,9,1,no,no,full stack,testing,yes,poor,medium,Management,testing,job,28
74,85,64,72,67,64,62,73,92,5,7,yes,yes,distro making,hacking,yes,excellent,poor,hacking,developer,job,29
86,63,73,94,70,67,91,92,93,3,3,no,yes,machine learning,system designing,no,poor,poor,data engineering,security,job,7
64,69,76,62,63,67,86,66,75,7,4,no,no,distro making,testing,yes,poor,excellent,Computer Architecture,developer,job,24
93,94,70,85,68,91,69,78,86,2,8,no,yes,full stack,cloud computing,yes,poor,excellent,parallel computing,Business process analyst,job,13
94,74,75,74,65,74,63,85,89,6,6,yes,no,machine learning,game development,yes,medium,medium,Management,security,job,15
88,62,67,73,90,80,76,67,70,1,6,no,no,r programming,web technologies,no,poor,poor,Management,developer,higherstudies,23
76,91,84,66,84,87,61,79,64,2,1,no,no,python,data science,no,medium,medium,cloud computing,security,job,22
80,75,83,75,85,62,74,70,61,8,1,no,no,information security,cloud computing,no,excellent,poor,Computer Architecture,cloud computing,job,18
75,74,72,90,94,86,64,75,70,3,4,yes,yes,python,database security,no,medium,excellent,data engineering,system developer,higherstudies,4
69,67,68,80,84,67,76,80,76,7,4,yes,yes,hadoop,testing,yes,medium,poor,data engineering,security,job,29
83,84,66,70,64,83,90,61,83,3,7,no,no,r programming,cloud computing,yes,excellent,medium,networks,system developer,job,13
88,72,79,90,70,75,77,81,67,6,9,no,yes,hadoop,web technologies,yes,poor,poor,IOT,developer,higherstudies,15
83,66,93,68,74,66,81,71,94,7,6,no,yes,information security,web technologies,yes,poor,excellent,programming,security,job,30
83,68,63,61,70,75,74,92,75,4,6,no,yes,information security,system designing,no,poor,medium,hacking,testing,higherstudies,22
89,89,68,63,75,86,87,63,63,5,7,yes,no,python,testing,yes,medium,excellent,IOT,Business process analyst,higherstudies,16
90,61,75,93,90,85,85,66,78,1,6,no,no,machine learning,system designing,no,excellent,poor,cloud computing,testing,higherstudies,12
91,62,71,87,64,68,90,73,94,9,4,yes,no,machine learning,cloud computing,no,excellent,poor,Computer Architecture,security,job,22
66,69,63,81,80,90,81,71,73,5,3,no,no,r programming,web technologies,yes,medium,medium,parallel computing,system developer,job,5
61,74,91,81,80,93,90,94,80,2,4,no,no,r programming,system designing,no,medium,poor,data engineering,testing,job,28
92,74,71,68,84,63,88,89,69,6,4,yes,no,distro making,game development,yes,poor,excellent,IOT,testing,job,31
64,74,91,73,68,76,62,82,63,5,7,no,no,app development,testing,yes,excellent,poor,Management,developer,higherstudies,21
72,85,77,88,91,88,78,91,83,5,1,yes,yes,app development,testing,yes,medium,medium,IOT,developer,higherstudies,32
74,86,65,84,66,84,62,69,79,6,3,no,no,full stack,cloud computing,no,excellent,excellent,parallel computing,security,higherstudies,6
88,80,67,91,66,84,61,62,85,7,3,no,yes,app development,system designing,yes,excellent,excellent,Management,system developer,higherstudies,22
76,75,78,86,94,84,64,92,65,9,6,yes,yes,machine learning,system designing,no,medium,medium,data engineering,security,job,2
73,68,91,92,87,65,94,90,66,7,8,yes,yes,distro making,testing,yes,excellent,excellent,Computer Architecture,cloud computing,job,29
63,61,79,91,78,83,76,66,61,6,1,no,no,shell programming,hacking,no,medium,excellent,Management,testing,higherstudies,24
60,64,93,93,81,89,81,63,68,8,9,no,no,machine learning,database security,yes,poor,poor,Computer Architecture,testing,higherstudies,2
76,93,65,63,86,88,88,93,78,4,5,yes,yes,hadoop,web technologies,yes,poor,medium,IOT,security,higherstudies,10
72,92,90,67,64,83,60,87,84,9,1,yes,no,full stack,hacking,no,poor,poor,Software Engineering,testing,higherstudies,1
85,67,77,91,64,92,84,83,75,6,6,yes,no,full stack,game development,no,poor,excellent,Computer Architecture,system developer,job,22
81,84,69,71,88,60,75,93,74,3,7,no,yes,distro making,data science,yes,medium,excellent,parallel computing,Business process analyst,higherstudies,32
82,65,74,93,72,73,67,83,72,2,4,no,yes,machine learning,cloud computing,no,excellent,excellent,networks,system developer,job,18
74,69,86,77,75,76,81,94,83,7,7,yes,no,shell programming,cloud computing,yes,poor,excellent,hacking,developer,job,20
70,64,73,76,76,88,71,75,60,9,7,yes,yes,app development,hacking,yes,excellent,excellent,data engineering,cloud computing,job,1
71,67,61,65,68,61,72,86,86,5,6,yes,yes,shell programming,cloud computing,no,excellent,poor,IOT,security,job,8
77,92,70,91,83,65,84,61,73,1,8,no,yes,app development,system designing,no,medium,poor,Management,cloud computing,job,14
60,85,74,91,66,86,79,63,64,1,7,yes,no,hadoop,data science,yes,medium,poor,parallel computing,cloud computing,higherstudies,14
91,94,76,84,65,71,72,81,81,2,2,no,yes,distro making,game development,yes,excellent,poor,Management,cloud computing,job,29
66,67,71,67,80,85,68,90,82,2,2,no,yes,machine learning,game development,no,excellent,excellent,cloud computing,Business process analyst,job,9
71,85,61,87,69,80,64,70,93,7,4,no,yes,shell programming,testing,no,excellent,medium,Management,system developer,higherstudies,27
82,69,71,80,72,94,60,66,67,2,8,yes,yes,shell programming,game development,no,excellent,excellent,hacking,system developer,job,31
81,91,93,69,86,74,80,70,68,2,2,no,no,distro making,testing,no,excellent,medium,networks,security,job,20
73,60,94,70,88,80,94,81,66,8,7,no,yes,full stack,web technologies,yes,medium,excellent,Management,cloud computing,higherstudies,6
81,79,87,79,71,84,81,61,71,7,3,yes,yes,python,data science,no,medium,poor,Management,developer,job,23
60,77,90,94,94,84,70,64,86,3,1,no,yes,information security,hacking,yes,excellent,excellent,parallel computing,developer,job,33
78,62,85,92,67,76,74,71,76,2,7,yes,no,machine learning,hacking,yes,poor,medium,hacking,cloud computing,job,20
91,76,85,64,88,90,87,88,69,8,1,yes,yes,r programming,cloud computing,no,poor,poor,networks,testing,job,29
92,69,62,67,83,74,94,66,77,9,8,yes,yes,information security,database security,yes,poor,poor,programming,Business process analyst,job,31
81,64,61,82,76,71,73,74,65,7,1,no,yes,machine learning,system designing,no,poor,poor,parallel computing,system developer,higherstudies,2
78,90,65,84,82,75,76,65,82,2,5,yes,yes,python,data science,yes,medium,medium,Computer Architecture,testing,job,17
83,67,76,86,85,68,89,93,94,8,8,yes,yes,app development,web technologies,no,poor,poor,Computer Architecture,testing,job,28
69,91,87,70,86,91,89,81,71,8,1,yes,yes,hadoop,data science,no,poor,excellent,parallel computing,cloud computing,higherstudies,16
